169.6,17,4,1,137.3
169.2,17,4,1,122.30000000000001
169.2,17,4,1,119.7
154.1,17,4,1,119.7
153.29999999999998,17,4,1,118.0
154.0,17,4,1,115.6
148.10000000000002,17,4,1,114.1
855.3,17,4,1,0.0
34.4,17,4,1,0.0
863.4,17,4,1,0.0
856.0,17,4,1,0.0
34.2,17,4,1,0.0
34.2,17,4,1,0.0
856.3,17,4,1,0.0
858.6,17,4,1,0.0
855.3,17,4,1,0.0
23.0,17,4,1,0.0
56.4,17,4,1,0.0
59.9,17,4,1,0.0
54.4,17,4,1,0.0
32.9,17,4,1,0.0
37.3,17,4,1,0.0
56.2,17,4,1,0.0
54.0,17,4,1,0.0
56.0,17,4,1,0.0
38.0,17,4,1,0.0
60.5,17,4,1,0.0
60.5,17,4,1,0.0
38.6,17,4,1,0.0
33.9,17,4,1,0.0
57.0,17,4,1,0.0
57.6,17,4,1,0.0
35.0,17,4,1,0.0
34.2,17,4,1,0.0
53.3,17,4,1,0.0
55.5,17,4,1,0.0
30.700000000000003,17,4,1,0.0
31.6,17,4,1,0.0
55.7,17,4,1,0.0
60.699999999999996,17,4,1,0.0
35.8,17,4,1,0.0
53.900000000000006,17,4,1,0.0
53.900000000000006,17,4,1,0.0
225.1,17,4,1,0.0
41.7,17,4,1,0.0
27.5,17,4,1,0.0
45.900000000000006,17,4,1,0.0
47.5,17,4,1,0.0
27.799999999999997,17,4,1,0.0
27.7,17,4,1,0.0
55.1,17,4,1,0.0
869.7,17,4,1,0.0
34.2,17,4,1,0.0
28.2,17,4,1,0.0
57.6,17,4,1,0.0
390.7,17,4,1,0.0
70.3,17,4,1,0.0
70.3,17,4,1,0.0
91.5,17,4,1,0.0
34.4,17,4,1,0.0
46.0,17,4,1,0.0
55.7,17,4,1,0.0
97.8,17,4,1,0.0
39.1,17,4,1,0.0
55.800000000000004,17,4,1,0.0
95.9,17,4,1,0.0
872.7,17,4,1,0.0
67.6,17,4,1,0.0
47.9,17,4,1,0.0
