time,power
0,18.214272
1,18.218521
2,18.221733
3,18.224974
4,18.2269
5,18.227573
6,18.226227
7,18.22433
8,18.223965
9,18.224546
10,18.225279
11,18.227236
12,18.226013
13,18.228765
14,18.230293
15,18.22898
16,18.228306
17,18.228
18,18.228
19,18.228
20,18.228
21,18.228
22,18.228
23,18.228
24,18.228
25,18.228
26,18.228
27,18.228
28,18.228
29,18.228
30,18.228
31,18.228
32,18.228
33,18.228
34,18.228
35,18.228
36,18.228
37,18.228
38,18.228
39,18.228
40,18.228
41,18.228
42,18.228
43,18.228
44,18.228
45,18.228
46,18.228
47,18.228
48,18.228
49,18.228
50,18.228
51,18.228
52,18.228
53,18.228
54,18.228
55,18.228
56,18.228
57,18.228
58,18.228
59,18.228
60,18.228
61,18.228
62,18.228
63,18.228
64,18.228
65,18.228
66,18.228
67,18.228
68,18.228
69,18.228
70,18.228
71,18.228
72,18.228
73,18.228
74,18.228
75,18.228
76,18.228
77,18.228
78,18.228
79,18.228
80,18.22317
81,18.220112
82,18.22326
83,18.223322
84,18.22158
85,18.222925
86,18.22265
87,18.224087
88,18.224852
89,18.219225
90,18.211092
91,18.211763
92,18.215862
93,18.215954
94,18.214455
95,18.218277
96,18.220907
97,18.221855
98,18.221243
99,18.21999
100,18.220387
101,18.221764
102,18.224577
103,18.225248
104,18.226778
105,18.231089
106,18.231272
107,18.229254
108,18.228306
109,18.228
110,18.228
111,18.228
112,18.228
113,18.228
114,18.228
115,18.228
116,18.228
117,18.228
118,18.228
119,18.228
120,18.228
121,18.228
122,18.228
123,18.228
124,18.228
125,18.228
126,18.228092
127,18.228031
128,18.228
129,18.228
130,18.228
131,18.228
132,18.228
133,18.228
134,18.228
135,18.228
136,18.228
137,18.228
138,18.228
139,18.228
140,18.228
141,18.228
142,18.228
143,18.228
144,18.228
145,18.228
146,18.228
147,18.228
148,18.228
149,18.228
150,18.228
151,18.228
152,18.228
153,18.228
154,18.228
155,18.228
156,18.228
157,18.228
158,18.228
159,18.228
160,18.228
161,18.228
162,18.228
163,18.228
164,18.228
165,18.228
166,18.228
167,18.228
168,18.228
169,18.228
170,18.228
171,18.228
172,18.228
173,18.228
174,18.228
175,18.228
176,18.228
177,18.228
178,18.228
179,18.228
180,18.228
181,18.228
182,18.228
183,18.228
184,18.228
185,18.228
186,18.228
187,18.228
188,18.228
189,18.228
190,18.228
191,18.228
192,18.228
193,18.228
194,18.228
195,18.228
196,18.228
197,18.228
198,18.228
199,18.228
200,18.228
201,18.228
202,18.228
203,18.228
204,18.228
205,18.228
206,18.228
207,18.228
208,18.228
209,18.228
210,18.228
211,18.228
212,18.228
213,18.228
214,18.228
215,18.228
216,18.228
217,18.228
218,18.228
219,18.228
220,18.228
221,18.228
222,18.228
223,18.228
224,18.228
225,18.228
226,18.228
227,18.228
228,18.228
229,18.228
230,18.228
231,18.228
232,18.228
233,18.228
234,18.228
235,18.228
236,18.228
237,18.228
238,18.228
239,18.228
240,18.228
241,18.228
242,18.228
243,18.228
244,18.228
245,18.228
246,18.228
247,18.228
248,18.228
249,18.228
250,18.228
251,18.228
252,18.228
253,18.228
254,18.228092
255,18.228031
256,18.228
257,18.228
258,18.228
259,18.228
260,18.228
261,18.228
262,18.228
263,18.228
264,18.228
265,18.228
266,18.228
267,18.228
268,18.228
269,18.228
270,18.228
271,18.228
272,18.228
273,18.228
274,18.228
275,18.228
276,18.228
277,18.228
278,18.228
279,18.228
280,18.228
281,18.228
282,18.228
283,18.228
284,18.228
285,18.228
286,18.228
287,18.228
288,18.228
289,18.228
290,18.228
291,18.228
292,18.228
293,18.228
294,18.228
295,18.228
296,18.228
297,18.228
298,18.228
299,18.228
300,18.228
301,18.228
302,18.228
303,18.228
304,18.228
305,18.228
306,18.228
307,18.228
308,18.228
309,18.228
310,18.228
311,18.228
312,18.228
313,18.228
314,18.228
315,18.228
316,18.228
317,18.228
318,18.228
319,18.228
320,18.228
321,18.228
322,18.228
323,18.228
324,18.228
325,18.228
326,18.228
327,18.228
328,18.228
329,18.228
330,18.228
331,18.228
332,18.228
333,18.228
334,18.228
335,18.228
336,18.228
337,18.228
338,18.228
339,18.228
340,18.228
341,18.228
342,18.228
343,18.228
344,18.228
345,18.228
346,18.228
347,18.228
348,18.228
349,18.228
350,18.228
351,18.228
352,18.228
353,18.228
354,18.228
355,18.228
356,18.228
357,18.228
358,18.228
359,18.228
360,18.228
361,18.228
362,18.228
363,18.228
364,18.228
365,18.228
366,18.228
367,18.228
368,18.228
369,18.228
370,18.228
371,18.228
372,18.228
373,18.228
374,18.228
375,18.228
376,18.228
377,18.228
378,18.228
379,18.228
380,18.228
381,18.228
382,18.228092
383,18.228031
384,18.228
385,18.228
386,18.228
387,18.228
388,18.228
389,18.228
390,18.228
391,18.228
392,18.228
393,18.228
394,18.228
395,18.228
396,18.228
397,18.228
398,18.228
399,18.228
400,18.228
401,18.228
402,18.228
403,18.228
404,18.228
405,18.228
406,18.228
407,18.228
408,18.228
409,18.228
410,18.228
411,18.228
412,18.228
413,18.228
414,18.228
415,18.228
416,18.228
417,18.228
418,18.228
419,18.228
420,18.228
421,18.228
422,18.228
423,18.228
424,18.228
425,18.228
426,18.228
427,18.228
428,18.228
429,18.228
430,18.228
431,18.228
432,18.228
433,18.228
434,18.228
435,18.228
436,18.228
437,18.228
438,18.228
439,18.228
440,18.228
441,18.228
442,18.228
443,18.228
444,18.228
445,18.228
446,18.228
447,18.228
448,18.228
449,18.228
450,18.228
451,18.228
452,18.228
453,18.228
454,18.228
455,18.228
456,18.228
457,18.228
458,18.228
459,18.228
460,18.228
461,18.228
462,18.228
463,18.228
464,18.228
465,18.228
466,18.228
467,18.228
468,18.228
469,18.228
470,18.228
471,18.228
472,18.228
473,18.228
474,18.228
475,18.228
476,18.228
477,18.228
478,18.228
479,18.228
480,18.228
481,18.228
482,18.228
483,18.228
484,18.228
485,18.228
486,18.228
487,18.228
488,18.228
489,18.228
490,18.228
491,18.228
492,18.228
493,18.228
494,18.228
495,18.228
496,18.228
497,18.228
498,18.228
499,18.228
500,18.228
501,18.228
502,18.228
503,18.228
504,18.228
505,18.228
506,18.228
507,18.228
508,18.228
509,18.228
510,18.228092
511,18.228031
512,18.228
513,15.236818
514,18.100035
515,26.740993
516,33.724087
517,38.22572
518,39.2762
519,43.701668
520,75.58247
521,218.29892
522,486.82324
523,572.40027
524,592.7817
525,601.3426
526,603.26587
527,605.2283
528,605.317
529,603.86566
530,600.5489
531,591.36523
532,564.8292
533,516.05164
534,456.1963
535,410.856
536,338.75238
537,271.32666
538,203.33157
539,136.48602
540,57.30613
541,30.566444
542,24.581696
543,17.897799
544,16.897772
545,16.370682
546,14.344301
547,13.589228
