time,power
0,0.15191416
1,0.15919405
2,0.15098009
3,0.1757999
4,0.19083413
5,0.20388159
6,0.18134508
7,0.044613667
8,0.0
9,0.0
10,13.936092
11,25.716389
12,55.795574
13,21.770275
14,0.37157106
15,0.38117874
16,0.21055359
17,0.15885304
18,0.15885304
19,0.15885304
20,0.15885304
21,0.15885304
22,0.15885304
23,0.15885304
24,0.15885304
25,0.15885304
26,0.15885304
27,0.15885304
28,0.15885304
29,0.15885304
30,0.15885304
31,0.15885304
32,0.15885304
33,0.15885304
34,0.15885304
35,0.15885304
36,0.15885304
37,0.15885304
38,0.15885304
39,0.15885304
40,0.15885304
41,0.15885304
42,0.15885304
43,0.15885304
44,0.15885304
45,0.15885304
46,0.15885304
47,0.15885304
48,0.15885304
49,0.15885304
50,0.15885304
51,0.15885304
52,0.15885304
53,0.15885304
54,0.15885304
55,0.04410956
56,0.0
57,0.0
58,11.908725
59,15.380001
60,15.352794
61,15.539492
62,14.337627
63,0.4089639
64,0.3683685
65,0.20795892
66,0.15885304
67,0.15885304
68,0.15885304
69,0.15885304
70,0.15885304
71,0.15885304
72,0.15885304
73,0.15885304
74,0.15885304
75,0.15885304
76,0.15885304
77,0.15885304
78,0.15885304
79,0.15885304
80,0.15885304
81,0.15885304
82,0.15885304
83,0.15885304
84,0.15885304
85,0.15885304
86,0.15885304
87,0.15885304
88,0.15885304
89,0.15885304
90,0.15885304
91,0.15885304
92,0.15885304
93,0.15885304
94,0.15885304
95,0.15885304
96,0.15885304
97,0.15885304
98,0.15885304
99,0.15885304
100,0.15885304
101,0.15885304
102,0.15885304
103,0.15885304
104,0.04410956
105,0.0
106,0.0
107,10.649334
108,15.401054
109,15.92884
110,15.76075
111,15.253797
112,0.0
113,0.40669543
114,0.36795336
115,0.20795892
116,0.15885304
117,0.15885304
118,0.15885304
119,0.15885304
120,0.15885304
121,0.15885304
122,0.15885304
123,0.15885304
124,0.15885304
125,0.15885304
126,0.15891235
127,0.15891235
128,0.15885304
129,0.15885304
130,0.15885304
131,0.15885304
132,0.15885304
133,0.15885304
134,0.15885304
135,0.15885304
136,0.15885304
137,0.15885304
138,0.15885304
139,0.15885304
140,0.15885304
141,0.15885304
142,0.15885304
143,0.15885304
144,0.15885304
145,0.15885304
146,0.15885304
147,0.15885304
148,0.15885304
149,0.15885304
150,0.15885304
151,0.15885304
152,0.15885304
153,0.15885304
154,0.04212279
155,0.0
156,0.0
157,11.474349
158,15.329813
159,17.132927
160,17.424997
161,16.9619
162,15.705743
163,0.0
164,0.4073626
165,0.3681906
166,0.20795892
167,0.15885304
168,0.15885304
169,0.15885304
170,0.15885304
171,0.15885304
172,0.15885304
173,0.15885304
174,0.15885304
175,0.15885304
176,0.15885304
177,0.15885304
178,0.15885304
179,0.15885304
180,0.15885304
181,0.15885304
182,0.15885304
183,0.15885304
184,0.15885304
185,0.15885304
186,0.15885304
187,0.15885304
188,0.15885304
189,0.15885304
190,0.15885304
191,0.15885304
192,0.15885304
193,0.15885304
194,0.15885304
195,0.15885304
196,0.15885304
197,0.15885304
198,0.15885304
199,0.15885304
200,0.15885304
201,0.15885304
202,0.15885304
203,0.15885304
204,0.15885304
205,0.03334541
206,0.0
207,0.0
208,13.922081
209,31.383612
210,60.95253
211,22.033136
212,0.37034047
213,0.37839133
214,0.20979743
215,0.15885304
216,0.15885304
217,0.15885304
218,0.15885304
219,0.15885304
220,0.15885304
221,0.15885304
222,0.15885304
223,0.15885304
224,0.15885304
225,0.15885304
226,0.15885304
227,0.15885304
228,0.15885304
229,0.15885304
230,0.15885304
231,0.15885304
232,0.15885304
233,0.15885304
234,0.15885304
235,0.15885304
236,0.15885304
237,0.15885304
238,0.15885304
239,0.15885304
240,0.15885304
241,0.15885304
242,0.15885304
243,0.15885304
244,0.15885304
245,0.15885304
246,0.15885304
247,0.15885304
248,0.15885304
249,0.15885304
250,0.15885304
251,0.15885304
252,0.15885304
253,0.15885304
254,0.15891235
255,0.15891235
256,0.15885304
257,0.038327165
258,0.0
259,0.0
260,12.019035
261,15.403531
262,17.193153
263,17.47345
264,16.99584
265,15.707611
266,0.0
267,0.4076888
268,0.36696
269,0.20758826
270,0.15885304
271,0.15885304
272,0.15885304
273,0.15885304
274,0.15885304
275,0.15885304
276,0.15885304
277,0.15885304
278,0.15885304
279,0.15885304
280,0.15885304
281,0.15885304
282,0.15885304
283,0.15885304
284,0.15885304
285,0.15885304
286,0.15885304
287,0.15885304
288,0.15885304
289,0.15885304
290,0.15885304
291,0.15885304
292,0.15885304
293,0.15885304
294,0.15885304
295,0.15885304
296,0.15885304
297,0.15885304
298,0.15885304
299,0.15885304
300,0.15885304
301,0.15885304
302,0.15885304
303,0.15885304
304,0.15885304
305,0.15885304
306,0.15885304
307,0.03457602
308,0.0
309,0.0
310,12.195398
311,15.549603
312,16.03138
313,15.836914
314,15.313014
315,0.0
316,0.4037449
317,0.3652549
318,0.20720276
319,0.15885304
320,0.15885304
321,0.15885304
322,0.15885304
323,0.15885304
324,0.15885304
325,0.15885304
326,0.15885304
327,0.15990573
328,0.16126978
329,0.16051362
330,0.15937197
331,0.15903096
332,0.1584379
333,0.15834893
334,0.15750381
335,0.15748899
336,0.15861581
337,0.15885304
338,0.15885304
339,0.15885304
340,0.15885304
341,0.15885304
342,0.15885304
343,0.15885304
344,0.15885304
345,0.15885304
346,0.15885304
347,0.15885304
348,0.15885304
349,0.15885304
350,0.15885304
351,0.15885304
352,0.15885304
353,0.15885304
354,0.15885304
355,0.15885304
356,0.15885304
357,0.15885304
358,0.15885304
359,0.15885304
360,0.15885304
361,0.033938475
362,0.0
363,0.0
364,12.234718
365,15.59475
366,16.071709
367,15.867279
368,15.337375
369,0.0
370,0.40405628
371,0.36506218
372,0.20720276
373,0.15885304
374,0.15885304
375,0.15885304
376,0.15885304
377,0.15885304
378,0.15885304
379,0.15885304
380,0.15885304
381,0.15885304
382,0.15891235
383,0.15891235
384,0.15885304
385,0.15885304
386,0.15885304
387,0.15885304
388,0.15885304
389,0.15885304
390,0.15885304
391,0.15885304
392,0.15885304
393,0.15885304
394,0.15885304
395,0.15885304
396,0.15885304
397,0.15885304
398,0.15885304
399,0.15885304
400,0.15885304
401,0.15885304
402,0.15885304
403,0.15885304
404,0.15885304
405,0.15885304
406,0.15885304
407,0.15885304
408,0.15885304
409,0.15885304
410,0.15885304
411,0.15885304
412,0.15885304
413,0.15885304
414,0.15885304
415,0.045458786
416,0.0
417,0.0
418,11.642661
419,15.402997
420,15.376946
421,16.200937
422,13.8737755
423,0.40531653
424,0.36550698
425,0.20720276
426,0.15885304
427,0.15885304
428,0.15885304
429,0.15885304
430,0.15885304
431,0.15885304
432,0.15885304
433,0.15885304
434,0.15885304
435,0.15885304
436,0.15885304
437,0.15885304
438,0.15885304
439,0.15885304
440,0.15885304
441,0.15885304
442,0.15885304
443,0.15885304
444,0.15885304
445,0.15885304
446,0.15885304
447,0.15885304
