Epoch,MSE (Training Loss),MSE (Validation Loss)
0,0.2310236394405365,0.007400722708553076
1,0.03983501344919205,0.0034888049121946096
2,0.02530154213309288,0.0029689716175198555
3,0.02203407697379589,0.003930560313165188
4,0.01757832057774067,0.002810634672641754
5,0.02126614935696125,0.002267321804538369
6,0.020883461460471153,0.002186194295063615
7,0.01660531386733055,0.0030401970725506544
8,0.010754561983048916,0.0024376928340643644
9,0.011063145473599434,0.0019575972110033035
