Epoch,MSE (Training Loss),MSE (Validation Loss)
0,0.06104834005236626,0.019254645332694054
1,0.02455429546535015,0.00988924689590931
2,0.020301273092627525,0.007031664252281189
3,0.018931349739432335,0.006196451839059591
4,0.018205145373940468,0.005594839341938496
5,0.017845816910266876,0.005106479395180941
6,0.017686698585748672,0.005028693936765194
7,0.017505351454019547,0.0047065988183021545
8,0.017448559403419495,0.004799645859748125
9,0.017282843589782715,0.004316093400120735
