Epoch,MSE (Training Loss),MSE (Validation Loss)
0,0.09452936053276062,0.09572754800319672
1,0.06912324577569962,0.05977007374167442
2,0.06081988289952278,0.05999523401260376
3,0.05931791290640831,0.06306318193674088
4,0.05656077712774277,0.06686584651470184
